operator,conquest_epoch
Add,2417.0
Subtract,2680.0
Multiply,6204.0
Divide,2399.0
Modulo,4893.0
Add,2559.0
Subtract,2323.0
Multiply,5457.0
Divide,2620.0
Modulo,5171.0
Add,2976.0
Subtract,2968.0
Multiply,5069.0
Divide,2569.0
Modulo,4502.0
Add,2554.0
Subtract,2519.0
Multiply,6427.0
Divide,2361.0
Modulo,4827.0
Add,2562.0
Subtract,3160.0
Multiply,5640.0
Divide,2325.0
Modulo,4672.0
Add,3020.0
Subtract,3368.0
Multiply,5846.0
Divide,2493.0
Modulo,4533.0
Add,2623.0
Subtract,2828.0
Multiply,5318.0
Divide,2267.0
Modulo,4724.0
Add,2477.0
Subtract,3049.0
Multiply,6026.0
Divide,2412.0
Modulo,4920.0
Add,2911.0
Subtract,2538.0
Multiply,6033.0
Divide,2345.0
Modulo,5171.0
Add,2067.0
Subtract,2347.0
Multiply,6689.0
Divide,2349.0
Modulo,4709.0
Add,2592.0
Subtract,2467.0
Multiply,5874.0
Divide,2341.0
Modulo,5076.0
Add,2947.0
Subtract,2755.0
Multiply,6122.0
Divide,2294.0
Modulo,4314.0
Add,2365.0
Subtract,2535.0
Multiply,6160.0
Divide,2303.0
Modulo,4939.0
Add,1957.0
Subtract,1921.0
Multiply,5660.0
Divide,2181.0
Modulo,4846.0
Add,2455.0
Subtract,2869.0
Multiply,5964.0
Divide,2288.0
Modulo,4789.0
Add,2474.0
Subtract,2897.0
Multiply,5883.0
Divide,2462.0
Modulo,4778.0
Add,3382.0
Subtract,2460.0
Multiply,5648.0
Divide,2363.0
Modulo,4748.0
Add,2486.0
Subtract,2331.0
Multiply,5345.0
Divide,2432.0
Modulo,5175.0
Add,2836.0
Subtract,2742.0
Multiply,5651.0
Divide,2319.0
Modulo,4811.0
Add,2320.0
Subtract,2686.0
Multiply,6216.0
Divide,2330.0
Modulo,4585.0
Add,2717.0
Subtract,2292.0
Multiply,5627.0
Divide,2427.0
Modulo,4218.0
Add,2375.0
Subtract,3065.0
Multiply,5682.0
Divide,2371.0
Modulo,4312.0
Add,2395.0
Subtract,2988.0
Multiply,6097.0
Divide,2472.0
Modulo,4520.0
Add,2917.0
Subtract,3016.0
Multiply,5385.0
Divide,2308.0
Modulo,4677.0
Add,2295.0
Subtract,2669.0
Multiply,5472.0
Divide,2436.0
Modulo,5371.0
Add,2603.0
Subtract,2651.0
Multiply,5181.0
Divide,2406.0
Modulo,4497.0
Add,2555.0
Subtract,2596.0
Multiply,6520.0
Divide,2567.0
Modulo,5022.0
Add,2460.0
Subtract,2976.0
Multiply,5239.0
Divide,2347.0
Modulo,4804.0
Add,2263.0
Subtract,2580.0
Multiply,5482.0
Divide,2613.0
Modulo,5058.0
Add,2328.0
Subtract,2892.0
Multiply,5519.0
Divide,2435.0
Modulo,5018.0
Add,2310.0
Subtract,3014.0
Multiply,5807.0
Divide,2420.0
Modulo,4783.0
Add,2126.0
Subtract,2961.0
Multiply,6213.0
Divide,2293.0
Modulo,4543.0
Add,2445.0
Subtract,3311.0
Multiply,5817.0
Divide,2303.0
Modulo,4493.0
Add,2537.0
Subtract,2494.0
Multiply,5765.0
Divide,2609.0
Modulo,4827.0
Add,3199.0
Subtract,2536.0
Multiply,6014.0
Divide,2543.0
Modulo,4855.0
Add,2406.0
Subtract,2945.0
Multiply,6042.0
Divide,2397.0
Modulo,4751.0
Add,2750.0
Subtract,3003.0
Multiply,5645.0
Divide,2444.0
Modulo,4939.0
Add,1900.0
Subtract,2445.0
Multiply,6408.0
Divide,2514.0
Modulo,5055.0
Add,2609.0
Subtract,2548.0
Multiply,5821.0
Divide,2458.0
Modulo,4578.0
Add,2556.0
Subtract,2450.0
Multiply,6297.0
Divide,2348.0
Modulo,4367.0
Add,2547.0
Subtract,2632.0
Multiply,5803.0
Divide,2378.0
Modulo,4916.0
Add,3062.0
Subtract,2841.0
Multiply,5545.0
Divide,2529.0
Modulo,4994.0
Add,3470.0
Subtract,2741.0
Multiply,5735.0
Divide,2248.0
Modulo,4521.0
Add,2581.0
Subtract,2587.0
Multiply,5510.0
Divide,2537.0
Modulo,5392.0
Add,2267.0
Subtract,2656.0
Multiply,5702.0
Divide,2346.0
Modulo,4847.0
Add,2885.0
Subtract,3153.0
Multiply,6076.0
Divide,2526.0
Modulo,5434.0
Add,2080.0
Subtract,2807.0
Multiply,5870.0
Divide,2406.0
Modulo,5467.0
Add,2332.0
Subtract,2714.0
Multiply,5980.0
Divide,2461.0
Modulo,5400.0
Add,2530.0
Subtract,2735.0
Multiply,5727.0
Divide,2444.0
Modulo,5042.0
Add,2442.0
Subtract,2554.0
Multiply,6056.0
Divide,2470.0
Modulo,4827.0
Add,2181.0
Subtract,2997.0
Multiply,6407.0
Divide,2345.0
Modulo,4606.0
Add,2621.0
Subtract,2840.0
Multiply,6027.0
Divide,2511.0
Modulo,5031.0
Add,2283.0
Subtract,2774.0
Multiply,5625.0
Divide,2437.0
Modulo,4363.0
Add,2698.0
Subtract,3088.0
Multiply,5744.0
Divide,2449.0
Modulo,4498.0
Add,3263.0
Subtract,2247.0
Multiply,5831.0
Divide,2407.0
Modulo,5123.0
Add,2823.0
Subtract,2521.0
Multiply,5616.0
Divide,2424.0
Modulo,4560.0
Add,2813.0
Subtract,3108.0
Multiply,5867.0
Divide,2297.0
Modulo,4381.0
Add,2525.0
Subtract,2843.0
Multiply,5537.0
Divide,2368.0
Modulo,5188.0
Add,2688.0
Subtract,3126.0
Multiply,5568.0
Divide,2377.0
Modulo,4510.0
Add,2166.0
Subtract,2810.0
Multiply,6579.0
Divide,2504.0
Modulo,5450.0
Add,2757.0
Subtract,3366.0
Multiply,5538.0
Divide,2372.0
Modulo,4504.0
Add,2604.0
Subtract,2411.0
Multiply,6230.0
Divide,2550.0
Modulo,4798.0
Add,2160.0
Subtract,2563.0
Multiply,5883.0
Divide,2400.0
Modulo,4482.0
Add,2508.0
Subtract,2493.0
Multiply,6214.0
Divide,2378.0
Modulo,4823.0
